t,z,authority_ratio,turns,release,valve,afilt,bhat,vz,state,itki,safety,thrust
1.46,0.445255469563,2.28038491682,0.852695472022,1,0.523438761771,1.8773903366,24.4663768435,0.392937845372,4,0,0,367.930893551
1.47,0.449382301182,2.25863771495,0.868833926621,1,0.526980042687,2.04597116059,24.3019639505,0.432784351737,4,0,0,380.032187819
1.48,0.453924617615,2.2408426791,0.875749593353,1,0.530386675252,2.2274179007,24.1458743169,0.475924905856,4,0,0,388.709064127
1.49,0.458909693928,2.22965565259,0.876901729753,1,0.533457839791,2.41075498207,24.0068643569,0.521116220035,4,0,0,393.975107754
1.5,0.464352990037,2.22568292884,0.876901729753,1,0.536090465109,2.58593097319,23.888971794,0.567120768745,4,0,0,395.849308766
1.51,0.470256628969,2.22589500955,0.876901729753,1,0.538297023847,2.74705358154,23.7910473821,0.613120404521,4,0,0,395.612156808
1.52,0.476616917859,2.22662463308,0.876901729753,1,0.54011858491,2.89350900748,23.7108115843,0.658897868578,4,0,0,394.954328713
1.53,0.483433785035,2.22781288829,0.876901729753,1,0.541594663065,3.0263344397,23.6461894353,0.704436137681,4,0,0,394.297671402
1.54,0.490704840867,2.22940594031,0.876901729753,1,0.542762632013,3.14662399537,23.5953052857,0.749735676537,4,0,0,393.642282387
1.55,0.498427700375,2.2313546172,0.876901729753,1,0.54365754355,3.25538425919,23.5564651901,0.794796949468,4,0,0,392.988165698
1.56,0.506599983217,2.23361402973,0.876901729753,1,0.538858040094,3.35354128093,23.5281407882,0.839620419777,4,0,0,392.335320063
1.57,0.51521931368,2.23614322177,0.876901729753,1,0.533822460772,3.44194701813,23.5089545529,0.884206549737,4,0,0,391.683743121
1.58,0.524283320667,2.23890484878,0.876901729753,1,0.528620634402,3.52138526355,23.4976662954,0.928555800596,4,0,0,391.033432205
1.59,0.533789637689,2.24186488215,0.876901729753,1,0.523282396348,3.59257709832,23.4931608203,0.972668632578,4,0,0,390.384384557
1.6,0.543735902854,2.24499233729,0.876901729753,1,0.517854039186,3.65618590892,23.4935435652,1.01654550489,4,0,0,389.73659739
1.61,0.554119758857,2.24825902372,0.876901729753,1,0.512413300821,3.71282200276,23.4954046611,1.0601868757,4,0,0,389.090067913
